index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
484,TSLA,01-03-2023 03:46:00 PM,107.99,107.85,108.16,107.75,107.95233127296856,107.93406992494758,107.630422475223,109.64181913001542,112.74598068064101,0.5021428571428572,42.311785049215196,43.055092573727464,,108.37988651036189,5,539.9499999999999,SELLSHORTSTOCK,0.0
485,TSLA,01-03-2023 03:48:00 PM,108.32,107.99,108.35,107.99,108.02586501837486,107.96915447722506,107.65746473109661,109.62866670086103,112.7311039711162,0.5007142857142851,54.9783549783549,45.934967645383345,,108.37988651036189,-5,-541.5999999999999,BUYTOCOVERSTOCK,-1.6499999999999773
index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
4,SPY,12-30-2022 11:10:00 AM,380.59,380.49,380.65,380.36,380.46852800000005,380.4343412335222,380.4155196246203,380.4040431365127,380.47956926618616,,,,,,-5,-1902.9499999999998,BUYSTOCK,0.0
5,SPY,12-30-2022 11:12:00 AM,380.28,380.58,380.71,380.25,380.4308224,380.4203102122929,380.4102051295372,380.4028088764479,380.4405581197708,,,,,,5,1901.3999999999999,SELLSTOCK,-1.5499999999999545
30,SPY,12-30-2022 12:02:00 PM,380.61,380.74,380.85,380.56,380.48480634160404,380.3746511957746,380.33609766409364,380.3682308335418,380.25559146192415,0.24857142857143394,84.82384823848254,,380.3943289843624,,5,1903.0500000000002,SELLSHORTSTOCK,0.0
31,SPY,12-30-2022 12:04:00 PM,380.72,380.63,380.75,380.6,380.53184507328325,380.4060465416133,380.3511526576586,380.3717310242529,380.262391051778,0.2428571428571453,86.17886178861833,71.95723403396777,380.3943289843624,,-5,-1903.6000000000001,BUYTOCOVERSTOCK,-0.5499999999999545
32,SPY,12-30-2022 12:06:00 PM,380.58,380.72,380.76,380.46,380.5414760586266,380.4218604923757,380.3601270632406,380.3738033523698,380.271172393369,0.2442857142857154,81.84281842818412,73.53657760518101,380.3943289843624,,5,1902.8999999999999,SELLSHORTSTOCK,0.0
33,SPY,12-30-2022 12:08:00 PM,380.55,380.57,380.63,380.46,380.5431808469013,380.43350953852337,380.3675730607606,380.37555655284376,380.2806103866649,0.24214285714285616,80.21680216802149,75.13850473556319,380.3943289843624,,-5,-1902.75,BUYTOCOVERSTOCK,0.14999999999986358
42,SPY,12-30-2022 12:26:00 PM,380.85,380.84,380.92,380.79,380.7621111244443,380.62636630558455,380.48478520136035,380.40761070044226,380.35651514419993,0.23214285714284902,91.13924050633197,80.6143349545761,380.59545365835686,,5,1904.25,SELLSHORTSTOCK,0.0
43,SPY,12-30-2022 12:28:00 PM,380.64,380.81,380.93,380.58,380.73768889955545,380.6276057323496,380.490872056209,380.40992303178115,380.36171500741636,0.2471428571428516,77.63713080169028,80.35636781794295,380.59545365835686,,-5,-1903.1999999999998,BUYTOCOVERSTOCK,1.050000000000182
45,SPY,12-30-2022 12:32:00 PM,380.68,380.78,380.88,380.67,380.7297208957155,380.643310522603,380.50842899152553,380.4160590574878,380.37549808915304,0.2421428571428521,66.244725738397,78.49605427809918,380.59545365835686,,5,1903.4,SELLSHORTSTOCK,0.0
46,SPY,12-30-2022 12:34:00 PM,380.9,380.69,380.95,380.69,380.7637767165724,380.66664592963906,380.52378471734806,380.42087439024914,380.3832298031882,0.23999999999999286,77.21518987341821,78.88694995920808,380.59545365835686,,-5,-1904.5,BUYTOCOVERSTOCK,-1.099999999999909
247,SPY,12-30-2022 07:52:00 PM,383.13,383.11,383.16,383.11,383.08732651888533,383.07537421168377,383.0135262264563,381.9721569689967,381.29897329491723,0.07571428571428994,88.42494714587811,81.51260668702798,383.04938445615136,,-5,-1915.65,BUYSTOCK,0.0
248,SPY,12-30-2022 07:54:00 PM,383.18,383.13,383.19,383.13,383.1058612151083,383.0848856469852,383.0200546097325,381.9841753076137,381.2990035178727,0.07714285714286007,91.59169627996768,84.74585038909836,383.07544474604157,,5,1915.9,SELLSTOCK,0.25
402,SPY,01-03-2023 01:02:00 PM,378.52,378.63,378.69,378.47,378.54151647008393,378.77299410087346,379.31770191400915,381.10838759018276,381.3278423971002,0.3871428571428502,37.442922374429834,22.84627092846348,378.074107892947,,5,1892.6,SELLSHORTSTOCK,0.0
403,SPY,01-03-2023 01:04:00 PM,378.51,378.51,378.55,378.35,378.53521317606715,378.7490855462486,379.286027329146,381.0825329872954,381.3242525771084,0.37428571428570684,32.72450532724562,21.925849343787554,378.074107892947,,-5,-1892.55,BUYTOCOVERSTOCK,0.049999999999954525
418,SPY,01-03-2023 01:34:00 PM,379.43,379.41,379.5,379.31,379.13004735575663,378.9218869638527,379.10891074436444,380.77156028690376,381.2714557651786,0.3321428571428555,86.490081412682,59.128464380543754,378.9710710451649,,5,1897.15,SELLSHORTSTOCK,0.0
419,SPY,01-03-2023 01:36:00 PM,379.37,379.44,379.56,379.18,379.1780378846053,378.9626245125934,379.1191495387031,380.7576144134023,381.2679072440667,0.34357142857142875,83.52941176470628,63.95020312170228,378.9710710451649,,-5,-1896.85,BUYTOCOVERSTOCK,0.3000000000001819
447,SPY,01-03-2023 02:32:00 PM,378.52,379.0,379.07,378.44,379.0337951530663,379.20324065378077,379.2478323868486,380.4140642482815,381.1802705120905,0.3535714285714237,11.443461618041189,26.04469887121085,,379.15962854474714,5,1892.6,SELLSHORTSTOCK,0.0
448,SPY,01-03-2023 02:34:00 PM,378.36,378.51,378.57,378.09,378.8990361224531,379.12658241252797,379.21301543050157,380.39362579804987,381.17251759209825,0.3671428571428521,10.32499502060403,23.11010772114123,,378.9295942392614,-5,-1891.8000000000002,BUYTOCOVERSTOCK,0.7999999999997272
489,SPY,01-03-2023 03:56:00 PM,380.91,380.88,381.22,380.5,380.7732515157939,380.58521960136096,380.19878488502854,380.3579983727694,381.08159048886046,0.42357142857142094,79.18395210838624,66.74686996269195,380.4204093785649,,5,1904.5500000000002,SELLSHORTSTOCK,0.0
490,SPY,01-03-2023 03:58:00 PM,381.0,380.91,381.3,380.7,380.81860121263514,380.62292691032815,380.2302050856157,380.36438644866223,381.0810511421976,0.44357142857142307,78.46395608077798,66.80016212249373,380.4988815966376,,-5,-1905.0,BUYTOCOVERSTOCK,-0.4499999999998181
index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
28,NVDA,12-30-2022 11:06:00 AM,143.98,143.96,144.06,143.82,144.0321794275024,144.0259564098689,143.94344461823434,143.80669051585107,144.06287740630265,0.33499999999999985,43.981481481480365,,,144.31169962819263,5,719.9,SELLSHORTSTOCK,0.0
29,NVDA,12-30-2022 11:08:00 AM,144.02,143.99,144.13,143.92,144.02974354200194,144.02541491806264,143.9464467900683,143.80881299828042,144.06180108381744,0.3307142857142854,43.51851851851782,,,144.31169962819263,-5,-720.1,BUYTOCOVERSTOCK,-0.20000000000004547
71,NVDA,12-30-2022 12:32:00 PM,144.64,144.61,144.69,144.54,144.60676561073674,144.53060842680446,144.32922725822277,143.98087812763634,144.12170723886837,0.19857142857142865,53.571428571428704,74.01121509716424,144.49465400539333,,-5,-723.1999999999999,BUYSTOCK,0.0
72,NVDA,12-30-2022 12:34:00 PM,144.76,144.63,144.8,144.63,144.6374124885894,144.55146220618587,144.34612030691994,143.98863058407778,144.127594281479,0.19214285714285698,64.55026455026496,72.28609348285518,144.49465400539333,,5,723.8,SELLSTOCK,0.6000000000000227
